residence_icb_code,residence_icb_name,provider_icb_code,provider_icb_name,age_group_admission,gender,ethnic_category_2,imd_quintile,provider_type,legal_status_group,lda_flag,der_ward_type_desc_first,oap_flag,spell_count,bed_days,bed_days_exHL,bed_days_delayed_days
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,Asian or Asian British,1,NHS,Not formally detained,No,Adult Mental Health Ward,0,11,336,292,0
AT13,AT13: Anytown ICB_13,AT1,AT1: Anytown ICB_1,25-64,2,NA,NA,NHS,Formally detained,No,Adult Mental Health Ward,1,1,2,3,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,3,NHS,Not formally detained,No,Adult Mental Health Ward,0,2,131,126,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,1,White,3,NHS,Not formally detained,No,Learning Disabilities Ward,0,20,2912,2144,0
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,18-24,2,Black or Black British,2,NHS,Not formally detained,No,Learning Disabilities Ward,1,2,97,90,0
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,18-24,1,Asian or Asian British,4,NHS,Not formally detained,Yes,Learning Disabilities Ward,1,12,29,29,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,2,Asian or Asian British,3,NHS,Not formally detained,No,Learning Disabilities Ward,0,13,2969,2222,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,White,3,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,2,57,58,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,NA,3,NHS,Formally detained,No,Adult Mental Health Ward,0,18,1262,1215,25
AT1,AT1: Anytown ICB_1,AT4,AT4: Anytown ICB_4,65+,2,NA,1,Independent,Formally detained,No,Adult Mental Health Ward,1,1,52,50,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,2,NA,NA,NHS,Not formally detained,No,Adult Mental Health Ward,0,1,52,50,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,Other ethnic groups,4,NHS,Formally detained,No,Learning Disabilities Ward,0,2,75,75,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,Black or Black British,5,NHS,Not formally detained,No,Adult Mental Health Ward,0,1,26,20,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,White,3,NHS,Not formally detained,No,Adult Mental Health Ward,0,5,163,165,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,NA,1,NHS,Formally detained,No,Adult Mental Health Ward,0,3,10,9,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,Other ethnic groups,2,NHS,Formally detained,No,Adult Mental Health Ward,0,1,34,35,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,NA,5,NHS,Formally detained,No,Adult Mental Health Ward,0,9,525,465,12
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,NA,3,NHS,Not formally detained,No,Adult Mental Health Ward,0,2,266,257,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,White,4,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,19,592,576,0
AT1,AT1: Anytown ICB_1,AT12,AT12: Anytown ICB_12,65+,2,White,2,NHS,Formally detained,No,Older People's Mental Health Ward,1,1,26,27,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,White,5,NHS,Not formally detained,No,Adult Mental Health Ward,0,7,884,707,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,White,2,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,4,52.5,51,0
AT1,AT1: Anytown ICB_1,AT9,AT9: Anytown ICB_9,25-64,1,NA,2,Independent,Not formally detained,No,NA,1,1,53,53,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,1,NHS,Not formally detained,No,Adult Mental Health Ward,0,27,1244,1558.5,25
AT5,AT5: Anytown ICB_5,AT1,AT1: Anytown ICB_1,18-24,2,White,4,NHS,Formally detained,No,Adult Mental Health Ward,1,1,131,130,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,1,NA,NA,NHS,Not formally detained,No,Adult Mental Health Ward,0,1,61,59,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,1,Mixed,1,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,1,2,3,0
AT1,AT1: Anytown ICB_1,AT9,AT9: Anytown ICB_9,18-24,1,NA,2,Independent,Formally detained,Yes,NA,1,1,33,33,0
AT1,AT1: Anytown ICB_1,AT2,AT2: Anytown ICB_2,25-64,2,Other ethnic groups,4,NHS,Formally detained,No,Adult Mental Health Ward,1,1,19,18,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,5,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,30,232,215,0
AT16,AT16: Anytown ICB_16,AT1,AT1: Anytown ICB_1,18-24,2,NA,1,NHS,Not formally detained,No,Adult Mental Health Ward,1,1,44,41,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,Asian or Asian British,2,NHS,Formally detained,No,Adult Mental Health Ward,0,1,305,276,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,Asian or Asian British,2,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,7,116,113,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,NA,NA,NHS,Formally detained,No,Adult Mental Health Ward,0,3,110,110,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,Black or Black British,1,NHS,Formally detained,No,Adult Mental Health Ward,0,1,34,33,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,Black or Black British,3,NHS,Formally detained,No,Adult Mental Health Ward,0,1,68,28,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,2,Asian or Asian British,1,NHS,Formally detained,No,NA,0,1,18,18,0
AT24,AT24: Anytown ICB_24,AT1,AT1: Anytown ICB_1,25-64,1,White,5,NHS,Formally detained,No,Adult Mental Health Ward,1,1,65,59,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,1,White,3,NHS,Not formally detained,No,Adult Mental Health Ward,0,1,115,111,0
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,25-64,2,White,2,NHS,Not formally detained,Yes,Learning Disabilities Ward,1,19,73.5,76,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,1,Black or Black British,NA,NHS,Not formally detained,No,Learning Disabilities Ward,0,20,3874,5403,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,Mixed,3,NHS,Formally detained,No,Adult Mental Health Ward,0,1,97,94,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,3,NHS,Formally detained,Yes,Adult Mental Health Ward,0,1,13,14,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,NA,3,NHS,Not formally detained,No,Adult Mental Health Ward,0,1,53,31,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,1,NA,1,NHS,Not formally detained,No,Adult Mental Health Ward,0,2,59,60,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,Other ethnic groups,1,NHS,Formally detained,No,Adult Mental Health Ward,0,1,75,74,0
AT6,AT6: Anytown ICB_6,AT1,AT1: Anytown ICB_1,25-64,1,Other ethnic groups,5,NHS,Not formally detained,Yes,Learning Disabilities Ward,1,10,39,37,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,Other ethnic groups,4,NHS,Not formally detained,No,Adult Mental Health Ward,0,1,68,59,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,2,NHS,Formally detained,Yes,Adult Mental Health Ward,0,2,152,157,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,NA,NA,NHS,Not formally detained,No,Adult Mental Health Ward,0,3,110,93,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,White,2,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,1,115,112,0
AT1,AT1: Anytown ICB_1,AT5,AT5: Anytown ICB_5,18-24,2,White,3,Independent,Formally detained,No,NA,1,1,14,14,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,White,2,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,2,131,130,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,White,2,NHS,Formally detained,Yes,Adult Mental Health Ward,0,1,249,254,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,NA,4,NHS,Formally detained,No,Adult Mental Health Ward,0,4,275,228,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,X,White,3,NHS,Not formally detained,No,Adult Mental Health Ward,0,16,878,846,0
AT1,AT1: Anytown ICB_1,AT2,AT2: Anytown ICB_2,25-64,1,White,1,Independent,Not formally detained,No,Adult Mental Health Ward,1,2,39,39,0
AT26,AT26: Anytown ICB_26,AT1,AT1: Anytown ICB_1,18-24,1,NA,1,NHS,Formally detained,No,Adult Mental Health Ward,1,1,58,56,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,NA,2,NHS,Not formally detained,No,Adult Mental Health Ward,0,11,183,183,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,1,Other ethnic groups,5,NHS,Formally detained,No,Adult Mental Health Ward,0,2,152,156,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,5,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,5,405,400,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,White,3,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,4,214,214,7
AT1,AT1: Anytown ICB_1,AT12,AT12: Anytown ICB_12,25-64,1,White,3,NHS,Formally detained,No,Adult Mental Health Ward,1,1,37,37,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,Mixed,1,NHS,Not formally detained,No,Adult Mental Health Ward,0,3,107,95,0
AT1,AT1: Anytown ICB_1,AT4,AT4: Anytown ICB_4,25-64,2,Black or Black British,4,Independent,Formally detained,No,Adult Mental Health Ward,1,1,26,21,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,White,3,NHS,Formally detained,Yes,Adult Mental Health Ward,0,2,106,110,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,Asian or Asian British,1,NHS,Formally detained,Yes,Adult Mental Health Ward,0,1,79,79,0
AT1,AT1: Anytown ICB_1,AT4,AT4: Anytown ICB_4,65+,1,White,4,Independent,Not formally detained,No,Adult Mental Health Ward,1,1,250,264,100
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,1,NA,2,NHS,Formally detained,No,Adult Mental Health Ward,0,4,707,811,79
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,2,NA,3,NHS,Formally detained,No,Adult Mental Health Ward,0,5,306,272,154
AT1,AT1: Anytown ICB_1,AT2,AT2: Anytown ICB_2,25-64,1,NA,3,Independent,Not formally detained,No,Adult Mental Health Ward,1,1,5,5,0
AT16,AT16: Anytown ICB_16,AT1,AT1: Anytown ICB_1,18-24,2,White,2,NHS,Formally detained,No,Adult Mental Health Ward,1,1,21,23,0
AT1,AT1: Anytown ICB_1,AT2,AT2: Anytown ICB_2,25-64,2,Other ethnic groups,1,Independent,Not formally detained,Yes,Adult Mental Health Ward,1,2,61,59,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,NA,4,NHS,Not formally detained,No,Adult Mental Health Ward,0,8,525,466,69
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,18-24,1,NA,5,NHS,Not formally detained,No,Learning Disabilities Ward,1,4,274,272,0
AT1,AT1: Anytown ICB_1,AT3,AT3: Anytown ICB_3,25-64,1,Asian or Asian British,3,NHS,Formally detained,No,Adult Mental Health Ward,1,1,24,19,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,Other ethnic groups,NA,NHS,Formally detained,No,Adult Mental Health Ward,0,1,166,161,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,Black or Black British,2,NHS,Formally detained,No,Adult Mental Health Ward,0,5,342,340,0
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,18-24,2,White,1,NHS,Not formally detained,Yes,Learning Disabilities Ward,1,22,64.5,67,0
AT7,AT7: Anytown ICB_7,AT1,AT1: Anytown ICB_1,25-64,1,Asian or Asian British,1,NHS,Formally detained,No,Adult Mental Health Ward,1,1,256,244,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,White,2,NHS,Formally detained,Yes,Adult Mental Health Ward,0,1,156,157,0
AT1,AT1: Anytown ICB_1,AT5,AT5: Anytown ICB_5,25-64,1,Black or Black British,2,Independent,Formally detained,Yes,NA,1,1,41,42,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,NA,NA,NHS,Formally detained,No,Adult Mental Health Ward,0,4,98,82,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,NA,3,NHS,Formally detained,No,Adult Mental Health Ward,0,18,633,609,0
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,18-24,1,NA,3,NHS,Not formally detained,Yes,Learning Disabilities Ward,1,20,60,61,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,2,White,4,NHS,Not formally detained,No,Adult Mental Health Ward,0,4,466,496,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,1,White,4,NHS,Not formally detained,No,Learning Disabilities Ward,0,9,1032,844,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,1,White,3,NHS,Not formally detained,No,Adult Mental Health Ward,0,8,121,115.5,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,NA,4,NHS,Not formally detained,No,Adult Mental Health Ward,0,2,54,50,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,NA,NHS,Not formally detained,No,Adult Mental Health Ward,0,16,1371,1552,0
AT1,AT1: Anytown ICB_1,AT4,AT4: Anytown ICB_4,25-64,2,Asian or Asian British,2,Independent,Formally detained,No,Adult Mental Health Ward,1,2,32,34,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,NA,4,NHS,Not formally detained,No,Adult Mental Health Ward,0,9,362,361,0
AT20,AT20: Anytown ICB_20,AT1,AT1: Anytown ICB_1,25-64,1,White,5,NHS,Formally detained,No,Adult Mental Health Ward,1,2,86,82,23
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,65+,1,White,5,NHS,Not formally detained,Yes,Learning Disabilities Ward,1,12,27,28,22
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,NA,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,8,340,275,0
AT1,AT1: Anytown ICB_1,AT4,AT4: Anytown ICB_4,25-64,2,White,3,Independent,Formally detained,Yes,Adult Mental Health Ward,1,1,236,219,0
AT27,AT27: Anytown ICB_27,AT1,AT1: Anytown ICB_1,25-64,1,White,5,NHS,Formally detained,No,Adult Mental Health Ward,1,1,35,34,0
AT1,AT1: Anytown ICB_1,AT4,AT4: Anytown ICB_4,65+,1,White,NA,Independent,Formally detained,No,Adult Mental Health Ward,1,1,163,166,0
AT1,AT1: Anytown ICB_1,AT12,AT12: Anytown ICB_12,18-24,2,White,2,NHS,Formally detained,Yes,Adult Mental Health Ward,1,2,61,61,0
AT32,AT32: Anytown ICB_32,AT1,AT1: Anytown ICB_1,25-64,1,Asian or Asian British,2,NHS,Formally detained,No,Adult Mental Health Ward,1,1,11,12,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,White,2,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,5,94,94,0
AT1,AT1: Anytown ICB_1,AT2,AT2: Anytown ICB_2,18-24,1,Other ethnic groups,5,Independent,Not formally detained,No,Adult Mental Health Ward,1,1,38,36,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,1,NHS,Not formally detained,No,Adult Mental Health Ward,0,15,633,592,36
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,X,White,3,NHS,Formally detained,Yes,Learning Disabilities Ward,0,15,592,633,0
AT16,AT16: Anytown ICB_16,AT1,AT1: Anytown ICB_1,18-24,2,NA,3,NHS,Formally detained,No,Adult Mental Health Ward,1,1,44,42,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,1,White,1,NHS,Not formally detained,No,Adult Mental Health Ward,0,3,379,361,0
AT2,AT2: Anytown ICB_2,AT1,AT1: Anytown ICB_1,25-64,1,Black or Black British,5,NHS,Formally detained,No,Adult Mental Health Ward,1,1,25,22,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,1,White,1,NHS,Not formally detained,No,Adult Mental Health Ward,0,3,31,31,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,White,5,NHS,Formally detained,No,Adult Mental Health Ward,0,9,576,562,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,Other ethnic groups,1,NHS,Not formally detained,No,Adult Mental Health Ward,0,2,26,22,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,NA,1,NHS,Formally detained,No,Adult Mental Health Ward,0,8,206,203,0
AT1,AT1: Anytown ICB_1,AT9,AT9: Anytown ICB_9,25-64,2,White,2,NHS,Formally detained,Yes,NA,1,1,226,226,0
AT1,AT1: Anytown ICB_1,NA,NA,25-64,2,White,4,Independent,Not formally detained,No,Adult Mental Health Ward,NA,6,497,498,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,1,White,3,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,1,241,238,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,1,Mixed,3,NHS,Not formally detained,No,NA,0,2,75,75,0
AT1,AT1: Anytown ICB_1,AT10,AT10: Anytown ICB_10,25-64,1,White,3,NHS,Not formally detained,No,Adult Mental Health Ward,1,1,4,4,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,2,NHS,Formally detained,Yes,Adult Mental Health Ward,0,5,157,152,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,2,White,2,NHS,Not formally detained,No,Learning Disabilities Ward,0,9,450,380,0
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,65+,1,White,5,NHS,Not formally detained,Yes,Learning Disabilities Ward,1,1,83,66,0
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,25-64,2,White,1,NHS,Not formally detained,No,Learning Disabilities Ward,1,8,37,40,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,1,Asian or Asian British,4,NHS,Not formally detained,No,Learning Disabilities Ward,0,15,4918,7697,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,NA,4,NHS,Formally detained,Yes,Adult Mental Health Ward,0,3,242,238,7
AT1,AT1: Anytown ICB_1,AT2,AT2: Anytown ICB_2,25-64,2,Other ethnic groups,NA,Independent,Not formally detained,No,Adult Mental Health Ward,1,5,262,262,7
AT1,AT1: Anytown ICB_1,AT3,AT3: Anytown ICB_3,25-64,1,Black or Black British,5,NHS,Formally detained,No,Adult Mental Health Ward,1,1,328,332,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,Mixed,1,NHS,Formally detained,Yes,Adult Mental Health Ward,0,1,134,130,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,NA,2,NHS,Not formally detained,No,Adult Mental Health Ward,0,12,353,366,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,NA,4,NHS,Not formally detained,No,Adult Mental Health Ward,0,1,20,21,0
AT1,AT1: Anytown ICB_1,AT20,AT20: Anytown ICB_20,25-64,1,NA,2,NHS,Not formally detained,No,Adult Mental Health Ward,1,1,6,7,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,NA,1,NHS,Formally detained,No,Adult Mental Health Ward,0,3,131,132,0
AT20,AT20: Anytown ICB_20,AT1,AT1: Anytown ICB_1,25-64,1,Asian or Asian British,4,NHS,Not formally detained,No,Adult Mental Health Ward,1,1,25,26,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,Mixed,3,NHS,Formally detained,Yes,Adult Mental Health Ward,0,1,27,26,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,NA,2,NHS,Formally detained,No,Adult Mental Health Ward,0,4,83,77,0
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,25-64,1,White,NA,NHS,Formally detained,No,Adult Mental Health Ward,1,1,39,40,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,NA,2,NHS,Formally detained,No,Adult Mental Health Ward,0,5,214,182,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,White,1,NHS,Formally detained,No,Adult Mental Health Ward,0,3,276,284,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,Black or Black British,3,NHS,Formally detained,No,Adult Mental Health Ward,0,2,195,199,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,White,2,NHS,Not formally detained,No,Adult Mental Health Ward,0,1,296,274,0
AT16,AT16: Anytown ICB_16,AT1,AT1: Anytown ICB_1,18-24,1,NA,1,NHS,Not formally detained,Yes,Adult Mental Health Ward,1,1,74,74,63
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,2,NHS,Formally detained,Yes,Adult Mental Health Ward,0,4,173,163,0
AT1,AT1: Anytown ICB_1,AT20,AT20: Anytown ICB_20,25-64,1,White,2,NHS,Formally detained,No,Adult Mental Health Ward,1,1,32,33,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,2,White,1,NHS,Not formally detained,No,Adult Mental Health Ward,0,1,2,2,0
AT20,AT20: Anytown ICB_20,AT1,AT1: Anytown ICB_1,25-64,1,Mixed,1,NHS,Not formally detained,No,Adult Mental Health Ward,1,2,75,75,63
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,White,3,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,2,163,166,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,White,3,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,2,57,58,0
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,00-17,1,Black or Black British,4,NHS,Not formally detained,Yes,Learning Disabilities Ward,1,21,79,82,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,White,2,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,1,257,244,0
AT1,AT1: Anytown ICB_1,AT3,AT3: Anytown ICB_3,25-64,1,Black or Black British,3,NHS,Formally detained,No,Adult Mental Health Ward,1,1,5,5,0
AT21,AT21: Anytown ICB_21,AT1,AT1: Anytown ICB_1,25-64,2,Other ethnic groups,NA,NHS,Formally detained,No,Adult Mental Health Ward,1,1,60,61,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,2,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,3,238,236,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,Asian or Asian British,1,NHS,Not formally detained,No,Adult Mental Health Ward,0,2,59,61,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,2,NA,4,NHS,Not formally detained,No,Adult Mental Health Ward,0,1,116,115.5,28
AT1,AT1: Anytown ICB_1,AT4,AT4: Anytown ICB_4,25-64,1,NA,2,Independent,Not formally detained,No,Adult Mental Health Ward,1,1,20,23,0
AT15,AT15: Anytown ICB_15,AT1,AT1: Anytown ICB_1,65+,2,Other ethnic groups,2,NHS,Not formally detained,No,Adult Mental Health Ward,1,1,0.5,1,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,Black or Black British,1,NHS,Formally detained,No,Adult Mental Health Ward,0,3,331,275,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,1,NA,4,NHS,Formally detained,No,Adult Mental Health Ward,0,1,101,102,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,NA,4,NHS,Not formally detained,No,Adult Mental Health Ward,0,1,0.5,0.5,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,White,4,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,3,242,219,0
AT1,AT1: Anytown ICB_1,AT22,AT22: Anytown ICB_22,25-64,1,White,3,NHS,Not formally detained,No,Adult Mental Health Ward,1,1,27,26,0
AT26,AT26: Anytown ICB_26,AT1,AT1: Anytown ICB_1,18-24,2,NA,2,NHS,Not formally detained,No,Adult Mental Health Ward,1,1,74,73.5,0
AT1,AT1: Anytown ICB_1,AT8,AT8: Anytown ICB_8,65+,1,White,4,NHS,Not formally detained,No,Adult Mental Health Ward,1,2,121,113,0
AT13,AT13: Anytown ICB_13,AT1,AT1: Anytown ICB_1,25-64,2,NA,NA,NHS,Not formally detained,No,Adult Mental Health Ward,1,1,91,94,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,1,White,1,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,1,310,311,0
AT1,AT1: Anytown ICB_1,AT3,AT3: Anytown ICB_3,18-24,1,Mixed,1,NHS,Formally detained,No,Adult Mental Health Ward,1,1,26,26,0
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,25-64,1,Black or Black British,2,NHS,Not formally detained,No,Learning Disabilities Ward,1,11,39,40,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,1,Black or Black British,1,NHS,Not formally detained,No,Learning Disabilities Ward,0,11,1080,384,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,Other ethnic groups,2,NHS,Not formally detained,No,Adult Mental Health Ward,0,1,51,49,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,White,3,NHS,Not formally detained,No,Adult Mental Health Ward,0,5,342,292,0
